stop_id,stop_name,stop_lat,stop_lon,zone_id
"at:49:630:0:2","Kagraner Anger","48.23934449","16.44876371","0100"
"at:49:631:0:1","Kagraner BrÃ¼cke","48.23949406","16.43085130","0100"
"at:49:631:0:2","Kagraner BrÃ¼cke","48.23915303","16.43074350","0100"
"at:49:631:0:5","Kagraner BrÃ¼cke","48.23965560","16.43034824","0100"
"at:49:631:0:6","Kagraner BrÃ¼cke","48.23967355","16.43068960","0100"
"at:49:631:0:7","Kagraner BrÃ¼cke","48.23904534","16.43050994","0100"
"at:49:632:0:1","Kagraner Friedhof","48.25339654","16.44597893","0100"
"at:49:632:0:2","Kagraner Friedhof","48.25371953","16.44586215","0100"
"at:49:633:0:11","Kagraner Platz","48.25088432","16.44362534","0100"
"at:49:633:0:13","Kagraner Platz U","48.25005287","16.44291567","0100"
"at:49:633:0:15","Kagraner Platz U","48.25114751","16.44345466","0100"
"at:49:633:0:2","Kagraner Platz U","48.25048954","16.44356246","0100"
"at:49:633:0:3","Kagraner Platz","48.25056132","16.44335585","0100"
"at:49:633:0:5","Kagraner Platz U","48.25013063","16.44270008","0100"
"at:49:633:0:7","Kagraner Platz","48.25039981","16.44345466","0100"
"at:49:633:0:9","Kagraner Platz","48.25042374","16.44335585","0100"
"at:49:634:0:1","Kahlenberg","48.27612648","16.33692345","0100"
"at:49:634:0:2","Kahlenberg","48.27653303","16.33680667","0100"
"at:49:634:0:3","Kahlenberg","48.27604876","16.33620480","0100"
"at:49:636:0:2","Korbweidenweg","48.20388914","16.47011666","0100"
"at:49:637:0:1","Kaiser-Franz-Josef-StraÃŸe","48.13571652","16.26684588","0100"
"at:49:637:0:2","Kaiser-Franz-Josef-StraÃŸe","48.13586040","16.26711537","0100"
"at:49:637:0:4","Kaiser-Franz-Josef-StraÃŸe","48.13611819","16.26673808","0100"
"at:49:637:0:5","Kaiser-Franz-Josef-StraÃŸe","48.13594433","16.26643265","0100"
"at:49:637:0:6","Kaiser-Franz-Josef-StraÃŸe","48.13578247","16.26684588","0100"
"at:49:638:0:1","Kaiserebersdorfer Friedhof","48.15777365","16.45299477","0100"
"at:49:638:0:2","Kaiserebersdorfer Friedhof","48.15774968","16.45321037","0100"
"at:49:638:0:3","Kaiserebersdorfer Friedhof","48.15875641","16.45357868","0100"
"at:49:639:0:1","Kaiserebersdorf, Zinnergasse","48.16017658","16.46979327","0100"
"at:49:639:0:2","Kaiserebersdorf, Zinnergasse","48.16088366","16.47076345","0100"
"at:49:639:0:6","Kaiserebersdorf, Zinnergasse","48.15946350","16.47028734","0100"
"at:49:639:0:7","Kaiserebersdorf, Zinnergasse","48.16082374","16.47108684","0100"
"at:49:639:0:8","Kaiserebersdorf, Zinnergasse","48.16003876","16.46965852","0100"
"at:49:639:0:9","Kaiserebersdorf, Zinnergasse","48.15956537","16.46984717","0100"
"at:49:640:0:1","Angelibad","48.24706791","16.40312031","0100"
"at:49:640:0:2","Angelibad","48.24722943","16.40303048","0100"
"at:49:641:0:2","KaisermÃ¼hlen","48.23180540","16.41648724","0100"
"at:49:641:0:3","KaisermÃ¼hlen-VIC","48.23284060","16.41553502","0100"
"at:49:641:0:4","KaisermÃ¼hlen-VIC","48.23270895","16.41575960","0100"
"at:49:641:0:5","KaisermÃ¼hlen-VIC","48.23279871","16.41626266","0100"
"at:49:641:0:6","KaisermÃ¼hlen","48.23226017","16.41665792","0100"
"at:49:641:0:7","KaisermÃ¼hlen-VIC","48.23272092","16.41635249","0100"
"at:49:642:0:1","KaisermÃ¼hlenstraÃŸe","48.21343170","16.44161312","0100"
"at:49:642:0:3","KaisermÃ¼hlenstraÃŸe","48.21317430","16.44062497","0100"
"at:49:642:0:4","KaisermÃ¼hlenstraÃŸe","48.21352149","16.44161312","0100"
"at:49:643:0:1","Mariahilfer StraÃŸe/KaiserstraÃŸe","48.19673404","16.34158571","0100"
"at:49:644:0:2","Burggasse/KaiserstraÃŸe","48.20402684","16.34013942","0100"
"at:49:644:0:4","Burggasse/KaiserstraÃŸe","48.20454772","16.33994179","0100"
"at:49:644:0:5","Burggasse/KaiserstraÃŸe","48.20429027","16.34039993","0100"
"at:49:645:0:2","Neustiftgasse/KaiserstraÃŸe","48.20610432","16.33939382","0100"
"at:49:645:0:3","Neustiftgasse/KaiserstraÃŸe","48.20578103","16.33980705","0100"
"at:49:645:0:5","Neustiftgasse/KaiserstraÃŸe","48.20624202","16.33961840","0100"
"at:49:646:0:1","WestbahnstraÃŸe/KaiserstraÃŸe","48.20188940","16.34084909","0100"
"at:49:646:0:3","WestbahnstraÃŸe/KaiserstraÃŸe","48.20189539","16.34072333","0100"
"at:49:646:0:4","WestbahnstraÃŸe/KaiserstraÃŸe","48.20161399","16.34060655","0100"
"at:49:646:0:5","WestbahnstraÃŸe/KaiserstraÃŸe","48.20178762","16.34018434","0100"
"at:49:646:0:7","WestbahnstraÃŸe/KaiserstraÃŸe","48.20178163","16.34006756","0100"
