route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"23-86A-j25-1","04","86A","Stadlau - Breitenleer St./Arnikaweg","3","0A295D","FFFFFF"
"23-86A-j25-24","04","86A","Stadlau - Breitenleer St./Arnikaweg","3","0A295D","FFFFFF"
"23-86A-j25-31","04","86A","Stadlau - Breitenleer St./Arnikaweg","3","0A295D","FFFFFF"
"23-87A-j25-1","04","87A","Stadlau - Hermann-Gebauer-Straße","3","0A295D","FFFFFF"
"23-87A-j25-24","04","87A","Stadlau - Hermann-Gebauer-Straße","3","0A295D","FFFFFF"
"23-87A-j25-31","04","87A","Stadlau - Hermann-Gebauer-Straße","3","0A295D","FFFFFF"
"23-88A-j25-1","04","88A","Seestadt - Eßling, Stadtgrenze","3","0A295D","FFFFFF"
"23-88A-j25-2","04","88A","Seestadt - Eßling, Stadtgrenze","3","0A295D","FFFFFF"
"23-88B-j25-1","04","88B","Seestadt - Eßling, Wegmayersiedlung","3","0A295D","FFFFFF"
"23-89A-j25-1","04","89A","Seestadt - Invalidensiedlung Baustellenfahrplan gültig von 02.07. bis vsl. September 2025","3","0A295D","FFFFFF"
"23-89A-j25-2","04","89A","Aspern Nord - Invalidensiedlung","3","0A295D","FFFFFF"
"23-8A-j25-1","04","8A","Meidling - Küniglberg/ORF-Zentrum","3","0A295D","FFFFFF"
"23-8A-j25-24","04","8A","Meidling - Küniglberg/ORF-Zentrum","3","0A295D","FFFFFF"
"23-92A-j25-1","04","92A","Kaisermühlen V.I.C. - Aspern, Zachgasse Winterfahrplan","3","0A295D","FFFFFF"
"23-92A-j25-2","04","92A","Kaisermühlen V.I.C. - Aspern, Zachgasse","3","0A295D","FFFFFF"
"23-92A-j25-24","04","92A","Kaisermühlen V.I.C. - Aspern, Zachgasse","3","0A295D","FFFFFF"
"23-92A-j25-3","04","92A","Kaisermühlen V.I.C. - Aspern, Zachgasse Sommerfahrplan","3","0A295D","FFFFFF"
"23-92A-j25-31","04","92A","Kaisermühlen V.I.C. - Aspern, Zachgasse","3","0A295D","FFFFFF"
"23-92B-j25-1","04","92B","Kaisermühlen V.I.C. - Ölhafen","3","0A295D","FFFFFF"
"23-92B-j25-2","04","92B","Kaisermühlen V.I.C. - Ölhafen","3","0A295D","FFFFFF"
"23-92B-j25-24","04","92B","Kaisermühlen V.I.C. - Ölhafen","3","0A295D","FFFFFF"
"23-92B-j25-3","04","92B","Kaisermühlen V.I.C. - Ölhafen Sommerfahrplan","3","0A295D","FFFFFF"
"23-92B-j25-31","04","92B","Kaisermühlen V.I.C. - Ölhafen","3","0A295D","FFFFFF"
"23-93A-j25-1","04","93A","Kagran - Aspernstraße","3","0A295D","FFFFFF"
"23-93A-j25-24","04","93A","Kagran - Aspernstraße","3","0A295D","FFFFFF"
"23-93A-j25-31","04","93A","Kagran - Aspernstraße","3","0A295D","FFFFFF"
"23-93A-j25-90","04","93A","Kagran - Aspernstraße Aspernstraße - Kagran","3","0A295D","FFFFFF"
"23-94A-j25-1","04","94A","Kagran - Stadlau","3","0A295D","FFFFFF"
"23-95A-j25-1","04","95A","Großer Biberhaufen - Aspern Nord","3","0A295D","FFFFFF"
"23-95A-j25-24","04","95A","Großer Biberhaufen - Aspern Nord","3","0A295D","FFFFFF"
"23-95A-j25-31","04","95A","Großer Biberhaufen - Aspern Nord","3","0A295D","FFFFFF"
"23-95B-j25-1","04","95B","Hirschstetten Ort - Hausfeldstraße Baustellenfahrplan gültig bis voraussichtlicht 2025","3","0A295D","FFFFFF"
"23-95B-j25-2","04","95B","Hirschstetten Ort - Hausfeldstraße Baustellenfahrplan gültig bis voraussichtlicht 2025","3","0A295D","FFFFFF"
"23-95B-j25-3","04","95B","Hirschstetten Ort - Hausfeldstraße","3","0A295D","FFFFFF"
"23-96A-j25-1","04","96A","Schillwasserweg - Erzherzog-Karl-Straße","3","0A295D","FFFFFF"
"23-96A-j25-2","04","96A","Schillwasserweg - Erzherzog-Karl-Straße","3","0A295D","FFFFFF"
"23-97A-j25-1","04","97A","Breitenlee Schule - Aspernstraße","3","0A295D","FFFFFF"
"23-97A-j25-24","04","97A","Aspernstraße - Breitenlee Schule","3","0A295D","FFFFFF"
"23-97A-j25-31","04","97A","Aspernstraße - Breitenlee Schule","3","0A295D","FFFFFF"
"23-98A-j25-1","04","98A","Hirschstetten Ort - Eßling, Schippanisiedlung","3","0A295D","FFFFFF"
"23-98A-j25-24","04","98A","Hirschstetten Ort - Eßling, Schippanisiedlung","3","0A295D","FFFFFF"
"23-98A-j25-31","04","98A","Hirschstetten Ort - Eßling, Schippanisiedlung","3","0A295D","FFFFFF"
"23-98A-j25-90","04","98A","Hirschstetten Ort - Eßling, Schippanisiedlung","3","0A295D","FFFFFF"
"23-99A-j25-1","04","99A","Sestadt - Eßling Schule Baustellenfahrplan gültig von 02.07. bis vsl. September 2025","3","0A295D","FFFFFF"
"23-99A-j25-2","04","99A","Sestadt - Eßling Schule","3","0A295D","FFFFFF"
"23-99A-j25-24","04","99A","Aspern Nord - Eßling Schule","3","0A295D","FFFFFF"
"23-99A-j25-31","04","99A","Aspern Nord - Eßling Schule","3","0A295D","FFFFFF"
"23-99B-j25-1","04","99B","Seestadt - Eßling Schule Baustellenfahrplan gültig von 02.07. bis vsl. September 2025","3","0A295D","FFFFFF"
"23-99B-j25-2","04","99B","Aspern Nord - Eßling Schule","3","0A295D","FFFFFF"
"23-99B-j25-24","04","99B","Seestadt - Eßling Schule","3","0A295D","FFFFFF"
"23-9A-j25-1","04","9A","Meidling Hauptstraße - Bhf. Meidling","3","0A295D","FFFFFF"
"23-9A-j25-24","04","9A","Meidling Hauptstraße - Bhf. Meidling","3","0A295D","FFFFFF"
"23-9A-j25-31","04","9A","Meidling Hauptstraße - Bhf. Meidling","3","0A295D","FFFFFF"
"24-N06-j25-1","04","N6","Westbahnhof - Enkplatz, Grillgasse","3","0A295D","FFFFFF"
"24-N08-j25-1","04","N8","Handelskai - Alterlaa","3","0A295D","FFFFFF"
"24-N20-j25-1","04","N20","Kagraner Platz - Strebersdorf,Edmund-Hawranek-Platz","3","0A295D","FFFFFF"
"24-N20-j25-2","04","N20","Kagraner Platz - Strebersdorf,Edmund-Hawranek-Platz","3","0A295D","FFFFFF"
"24-N23-j25-1","04","N23","Kagraner Platz - Hausfeldstraße","3","0A295D","FFFFFF"
"24-N25-j25-1","04","N25","Schwedenplatz - Großfeldsiedlung","3","0A295D","FFFFFF"
"24-N26-j25-1","04","N26","Kagran - Eßling Schule","3","0A295D","FFFFFF"
"24-N26-j25-2","04","N26","Kagran - Eßling Schule","3","0A295D","FFFFFF"
"24-N26-j25-91","04","N26","Kagran - Eßling Schule","3","0A295D","FFFFFF"
"24-N29-j25-1","04","N29","Wittelsbachstraße - Floridsdorf","3","0A295D","FFFFFF"
"24-N31-j25-1","04","N31","Schwedenplatz - Stammersdorf","3","0A295D","FFFFFF"
"24-N31-j25-2","04","N31","Schwedenplatz - Stammersdorf","3","0A295D","FFFFFF"
"24-N35-j25-1","04","N35","Spittelau - Salmannsdorf","3","0A295D","FFFFFF"
"24-N38-j25-1","04","N38","Schottentor - Grinzing","3","0A295D","FFFFFF"
"24-N41-j25-1","04","N41","Schottentor - Pötzleinsdorf","3","0A295D","FFFFFF"
